objectid,title,classification,dated,artist,medium,department,image_path,image_url,embedding_idx
42495,Young Man on a Terrace,painting,,,oil on canvas,,./images/42495.jpg,"https://api.nga.gov/iiif/335de5b4-cddb-442a-926d-3be6567ade6b/full/!512,512/0/default.jpg",514
52221,"Maison de la Poste, Cagnes",painting,,,oil on canvas,,./images/52221.jpg,"https://api.nga.gov/iiif/a09fb093-8aa6-460e-971d-e22dd3425ac8/full/!512,512/0/default.jpg",515
893,"Saint Catherine of Alexandria, with an Angel [right panel]",painting,,,tempera on panel transferred to canvas,,./images/893.jpg,"https://api.nga.gov/iiif/ec0b342e-1f6f-421f-840d-1532eb529d6c/full/!512,512/0/default.jpg",516
41686,Portrait of a Man,painting,,,oil on panel,,./images/41686.jpg,"https://api.nga.gov/iiif/b360118c-1c23-4a7b-b476-21549b3f0ab6/full/!512,512/0/default.jpg",517
50481,Three Yumaya Indians,painting,,,oil on card mounted on paperboard,,./images/50481.jpg,"https://api.nga.gov/iiif/46ba4127-22c3-4d9f-987e-1b11a172f5b3/full/!512,512/0/default.jpg",518
45859,Cat and Kittens,painting,,,oil on millboard,,./images/45859.jpg,"https://api.nga.gov/iiif/488a47b9-b277-47ac-98d7-cfea0dda0391/full/!512,512/0/default.jpg",519
34150,The Hon. Sir Francis Burton Conyngham,painting,,,oil on canvas,,./images/34150.jpg,"https://api.nga.gov/iiif/f7f44f5f-8a84-4921-85a1-a04412a6f7a9/full/!512,512/0/default.jpg",520
46004,Still Life with Melon and Peaches,painting,,,oil on canvas,,./images/46004.jpg,"https://api.nga.gov/iiif/e0a3e22c-e07f-4bcd-bf5e-281ae150093c/full/!512,512/0/default.jpg",521
46121,The Annunciation,painting,,,oil on panel,,./images/46121.jpg,"https://api.nga.gov/iiif/17cb936f-4fe7-429d-ad14-d9c003da5bef/full/!512,512/0/default.jpg",522
56574,Beach at Beverly,painting,,,oil on canvas,,./images/56574.jpg,"https://api.nga.gov/iiif/e36f10fe-8366-4753-a447-a9467fb4de32/full/!512,512/0/default.jpg",523
43624,The Railway,painting,,,oil on canvas,,./images/43624.jpg,"https://api.nga.gov/iiif/57b84473-f6f3-4bab-ad88-344bb4d56fb7/full/!512,512/0/default.jpg",524
50446,Gathering Wild Rice - Winnebago,painting,,,oil on card mounted on paperboard,,./images/50446.jpg,"https://api.nga.gov/iiif/cbf2c5ad-723d-4327-ab55-f5c633b8da82/full/!512,512/0/default.jpg",525
54130,Te Pape Nave Nave (Delectable Waters),painting,,,oil on canvas,,./images/54130.jpg,"https://api.nga.gov/iiif/b8cbb100-dee4-45de-b225-20dd379b5619/full/!512,512/0/default.jpg",526
71024,"Still Life with Fruit, Fish, and a Nest",painting,,,oil on canvas,,./images/71024.jpg,"https://api.nga.gov/iiif/329c02b8-9b4b-488b-b62e-f0a5f29635f3/full/!512,512/0/default.jpg",527
894,A Dominican Preaching,painting,,,tempera on poplar panel,,./images/894.jpg,"https://api.nga.gov/iiif/45949ade-9d91-45dd-875a-3e164f930351/full/!512,512/0/default.jpg",528
50462,"An Old Nayas Indian, His Granddaughter, and a Boy",painting,,,oil on card mounted on paperboard,,./images/50462.jpg,"https://api.nga.gov/iiif/798e9728-9270-4e95-8427-935c6b2553f2/full/!512,512/0/default.jpg",529
54127,"Bay of New York, Sunset",painting,,,oil on canvas,,./images/54127.jpg,"https://api.nga.gov/iiif/4533a385-b367-441e-9d7e-56e41c77c336/full/!512,512/0/default.jpg",530
18,The Annunciation,painting,,,tempera (and possibly oil glazes) on panel,,./images/18.jpg,"https://api.nga.gov/iiif/e6497b39-66a9-4b6b-bf2b-c1633d20c0b6/full/!512,512/0/default.jpg",531
53141,Peasants Celebrating Twelfth Night,painting,,,oil on panel,,./images/53141.jpg,"https://api.nga.gov/iiif/215d8ccb-49a9-47a1-a4c8-ab8a5601ea3c/full/!512,512/0/default.jpg",532
50534,Four Arowak Indians,painting,,,oil on card mounted on paperboard,,./images/50534.jpg,"https://api.nga.gov/iiif/c5bd3424-cd10-4851-b171-8d65cf94b4ec/full/!512,512/0/default.jpg",533
61251,Baby at Play,painting,,,oil on canvas,,./images/61251.jpg,"https://api.nga.gov/iiif/81fe0da8-b374-4749-90f1-d39b9c3d80b6/full/!512,512/0/default.jpg",534
50532,Three Taruma Indians,painting,,,oil on card mounted on paperboard,,./images/50532.jpg,"https://api.nga.gov/iiif/2afc0583-f593-4489-b166-d9bbef2d68e6/full/!512,512/0/default.jpg",535
50401,Ojibbeway Indians,painting,,,oil on card mounted on paperboard,,./images/50401.jpg,"https://api.nga.gov/iiif/2aa7e330-30c9-4a53-a8fe-a40c63e323cf/full/!512,512/0/default.jpg",536
166501,A Light on the Sea,painting,,,oil on canvas,,./images/166501.jpg,"https://api.nga.gov/iiif/45bad99c-e7c3-49bc-be81-dc1baccaef48/full/!512,512/0/default.jpg",537
54976,Still Life with Nautilus Cup,painting,,,oil on canvas,,./images/54976.jpg,"https://api.nga.gov/iiif/cd6129c1-6388-4ebc-85eb-89dc22e2c9b8/full/!512,512/0/default.jpg",538
50558,Three Auca Children,painting,,,oil on card mounted on paperboard,,./images/50558.jpg,"https://api.nga.gov/iiif/e41abfcf-f048-4b89-9d56-d29514f7a76d/full/!512,512/0/default.jpg",539
47,The Nativity,painting,,,oil on panel,,./images/47.jpg,"https://api.nga.gov/iiif/23e1898b-a329-460e-a791-c69663f7539d/full/!512,512/0/default.jpg",540
195115,Le Havre,painting,,,oil on canvas,,./images/195115.jpg,"https://api.nga.gov/iiif/fa591eb0-29d2-44fb-81e7-42d25e8642b0/full/!512,512/0/default.jpg",541
45955,The Westwood Children,painting,,,oil on canvas,,./images/45955.jpg,"https://api.nga.gov/iiif/3985dde4-8475-4df9-8ef8-5829de574a26/full/!512,512/0/default.jpg",542
46165,Portrait of a Donor,painting,,,oil on hardboard transferred from panel,,./images/46165.jpg,"https://api.nga.gov/iiif/70d0deef-9f12-4d5e-a1bf-d76179ed576e/full/!512,512/0/default.jpg",543
35087,Washerwomen at the Oise River near Valmondois,painting,,,oil on wood,,./images/35087.jpg,"https://api.nga.gov/iiif/3a27c023-34bd-4171-aeea-1e243969c130/full/!512,512/0/default.jpg",544
1233,Maddalena Cattaneo,painting,,,oil on canvas,,./images/1233.jpg,"https://api.nga.gov/iiif/34d0fbbe-9647-4164-ac58-61e581d7c23f/full/!512,512/0/default.jpg",545
65,The Suitor's Visit,painting,,,oil on canvas,,./images/65.jpg,"https://api.nga.gov/iiif/ffefb1ed-2abf-4121-8476-64c9802667be/full/!512,512/0/default.jpg",546
3209,Portrait of a Lady,painting,,,oil on canvas,,./images/3209.jpg,"https://api.nga.gov/iiif/6ef82b24-304d-4a3a-aabe-f5b56d07d970/full/!512,512/0/default.jpg",547
41661,Christ among the Doctors [obverse],painting,,,oil on panel,,./images/41661.jpg,"https://api.nga.gov/iiif/d81bc3eb-69f6-4fdc-be42-e0ed3ef0dae0/full/!512,512/0/default.jpg",548
42921,Captain Robert Calder,painting,,,oil on canvas,,./images/42921.jpg,"https://api.nga.gov/iiif/7b0fb4b9-5960-4344-ad0a-5e5ace4615e7/full/!512,512/0/default.jpg",549
52215,Young Girl Reading,painting,,,oil on canvas,,./images/52215.jpg,"https://api.nga.gov/iiif/6462ab17-0175-403d-9af4-fa89dc453263/full/!512,512/0/default.jpg",550
43596,"Fanciful View of the Castel Sant'Angelo, Rome",painting,,,oil on canvas,,./images/43596.jpg,"https://api.nga.gov/iiif/9130930c-d10d-4cdb-a925-9c506fa80512/full/!512,512/0/default.jpg",551
111194,The Shipwreck,painting,,,oil on canvas,,./images/111194.jpg,"https://api.nga.gov/iiif/e5783ee7-1f28-4a83-95ad-e7907a34202e/full/!512,512/0/default.jpg",552
43201,Mr. Forbes,painting,,,oil on canvas,,./images/43201.jpg,"https://api.nga.gov/iiif/829e4217-6765-4535-91c3-b55c9e35c89b/full/!512,512/0/default.jpg",553
403,"Madonna and Child, with the Man of Sorrows [middle panel]",painting,,,tempera on panel,,./images/403.jpg,"https://api.nga.gov/iiif/35bda0d1-9ca6-4fee-a339-8046cc6e198c/full/!512,512/0/default.jpg",554
231679,Still Life with Plums,painting,,,oil on canvas,,./images/231679.jpg,"https://api.nga.gov/iiif/bbecaaff-fc30-41ca-93a0-a52646986106/full/!512,512/0/default.jpg",555
195117,Auvers (Washerwomen),painting,,,oil on wood,,./images/195117.jpg,"https://api.nga.gov/iiif/d0e73fbc-b10f-4ea8-a9a0-04dddc0636c9/full/!512,512/0/default.jpg",556
41648,Still Life with Game,painting,,,oil on canvas,,./images/41648.jpg,"https://api.nga.gov/iiif/e85f4ab8-8849-4033-85e8-0ef62cd1f533/full/!512,512/0/default.jpg",557
97,The House of Cards,painting,,,oil on canvas,,./images/97.jpg,"https://api.nga.gov/iiif/f6e10702-e32f-4517-9147-ee0df032d0f0/full/!512,512/0/default.jpg",558
46622,The Basket of Flowers,painting,,,oil on canvas,,./images/46622.jpg,"https://api.nga.gov/iiif/ff1d89ca-7eb4-445d-87cd-35214bd3fff2/full/!512,512/0/default.jpg",559
1226,The Junction of the Thames and the Medway,painting,,,oil on canvas,,./images/1226.jpg,"https://api.nga.gov/iiif/4c91e476-adc9-4dbd-be17-0d81069af41b/full/!512,512/0/default.jpg",560
12131,Bindo Altoviti,painting,,,oil on panel,,./images/12131.jpg,"https://api.nga.gov/iiif/b567bff1-506c-4c08-9689-c801fc55a35e/full/!512,512/0/default.jpg",561
50651,"Two Sioux Chiefs, a Medicine Man, and a Woman with a Child",painting,,,oil on card mounted on paperboard,,./images/50651.jpg,"https://api.nga.gov/iiif/d7f45e79-4301-4461-899c-6144145f678b/full/!512,512/0/default.jpg",562
195201,Stars and Dews and Dreams of Night,painting,,,oil on canvas,,./images/195201.jpg,"https://api.nga.gov/iiif/e7c4907e-0ca0-4337-8362-8c3d97816dd0/full/!512,512/0/default.jpg",563
59922,Horizon of the New World,painting,,,oil on canvas,,./images/59922.jpg,"https://api.nga.gov/iiif/5e75e5d2-0a63-45d5-89f4-80b788682ed3/full/!512,512/0/default.jpg",564
50419,Iowa Indians Who Visited London and Paris,painting,,,oil on card mounted on paperboard,,./images/50419.jpg,"https://api.nga.gov/iiif/46e0b899-87c5-4848-a8cb-4523c3dbe97b/full/!512,512/0/default.jpg",565
51141,Procession by a Lake,painting,,,oil on fabric,,./images/51141.jpg,"https://api.nga.gov/iiif/1602b606-20ed-4862-b795-b962903a6e11/full/!512,512/0/default.jpg",566
50441,Dance to the Berdache - Saukie,painting,,,oil on card mounted on paperboard,,./images/50441.jpg,"https://api.nga.gov/iiif/09714ae7-7c7f-4e00-a33b-efff7cc1cf06/full/!512,512/0/default.jpg",567
50540,Bride and Groom on Horseback - Connibo,painting,,,oil on card mounted on paperboard,,./images/50540.jpg,"https://api.nga.gov/iiif/fbfd7617-fd3a-40bd-aa98-545801e57dc4/full/!512,512/0/default.jpg",568
